,Compound Rating,Date,Negative Rating,Neutral Rating,Positive Rating,Source Account,Text
66,-0.1531,Fri Apr 06 16:08:04 +0000 2018,0.124,0.78,0.096,BBC,"😂 If you're going to get dumped on TV, it might as well be via @KylieMinogue. 

#TheGNShow | 10.35pm | @BBCOne https://t.co/CgfsjKjeob"
67,-0.7777,Fri Apr 06 16:02:36 +0000 2018,0.332,0.621,0.047,BBC,"RT @BBCNewsround: Ever wondered why we cry when we chop onions? Now you'll have no excuse to avoid cooking dinner, sorry! 😂https://t.co/SyX…"
68,0.6037,Fri Apr 06 15:23:45 +0000 2018,0.0,0.64,0.36,BBC,"RT @BBCOne: MY OLD FRIEND.

#OrdealByInnocence #Sunshine https://t.co/vQBvcgLrCe"
69,0.8126,Fri Apr 06 15:22:01 +0000 2018,0.0,0.72,0.28,BBC,"🎻 Two years ago @ShekuKM won @BBCYoungMus. 
Now he wants to inspire other young people to pick up an instrument too… https://t.co/fG0F3x2eDN"
70,0.0,Fri Apr 06 15:20:18 +0000 2018,0.0,1.0,0.0,BBC,"RT @bbcgetinspired: She's only 11 years old, but @sport_wales' Anna Hursey is smashing it at #GC2018! 🙌 

➡ https://t.co/9sFYGzsgnQ #GetIns…"
71,0.0,Fri Apr 06 15:02:33 +0000 2018,0.0,1.0,0.0,BBC,RT @bbcmusic: Counting down the seconds TBH 💅@LittleMix https://t.co/6UTrz9gqQr
72,0.5499,Fri Apr 06 15:02:05 +0000 2018,0.282,0.332,0.385,BBC,🍞🍻 Hate food waste but love beer? https://t.co/IL9jmlaMjs
73,-0.5849,Fri Apr 06 14:30:39 +0000 2018,0.31,0.559,0.13,BBC,"RT @BBCRadio3: ""Stop being so selfish – this isn’t about you."" Harsh words - or tough love?
Zeynep, Jess and Sam discuss one teacher’s cont…"
74,0.0,Fri Apr 06 14:07:06 +0000 2018,0.0,1.0,0.0,BBC,"🐘 🦏🦒🔭
Saving animals using space technology. https://t.co/gAwJcD2I2A"
75,-0.4215,Fri Apr 06 13:02:05 +0000 2018,0.171,0.741,0.088,BBC,"🍿🎟 From a near-silent horror film to an Australian Western, here are 8 movies worth watching in April. 
👉… https://t.co/b15kbsQ7MD"
76,0.0,Fri Apr 06 12:18:09 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCOne: For all the drama queens. 👑 https://t.co/RfdMDieaCZ
77,0.2023,Fri Apr 06 12:03:05 +0000 2018,0.0,0.899,0.101,BBC,💃🕺 Meet the dancers from Lagos who've been tipped for the top by @Rihanna and @NaomiCampbell. https://t.co/3ySZPqcyBr
78,0.8617,Fri Apr 06 11:32:15 +0000 2018,0.0,0.689,0.311,BBC,"RT @BBCSport: Gareth Evans absolutely loved it! 💪 

This is how it felt to win Wales' first gold! 🥇🏴󠁧󠁢󠁷󠁬󠁳󠁿

#GC2018 #bbcgoldcoast https://t…"
79,0.0,Fri Apr 06 11:00:06 +0000 2018,0.0,1.0,0.0,BBC,"🦁🦏🐆 
Royal pets are now more synonymous with corgis than wild animals, but historically monarchs would own an array… https://t.co/5VVyiWHPv1"
80,0.0,Fri Apr 06 10:10:03 +0000 2018,0.0,1.0,0.0,BBC,"😻 Say hello to Willow the cheetah! 
#BigCatsAboutTheHouse https://t.co/e9xNVjR0gi"
81,0.0,Fri Apr 06 08:58:33 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCSport: It all happened in the weightlifting... #GC2018 https://t.co/s8qnPsuyaz
82,0.0,Fri Apr 06 08:30:51 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCBreakfast: All you need to know about the 'sugar tax' and how your favourite soft drink may change. https://t.co/mjFwTN1UHs
83,0.25,Fri Apr 06 08:08:50 +0000 2018,0.0,0.905,0.095,BBC,RT @bbcpress: 📸 #FirstLook at Eleanor Tomlinson and Rafe Spall in @BBCOne adaptation of H.G. Wells' #WarOfTheWorlds as filming begins: http…
84,0.0,Fri Apr 06 08:00:17 +0000 2018,0.0,1.0,0.0,BBC,"😲🎨🇿🇦 Hotel or modern art museum?
#AmazingHotels https://t.co/Xbmjzviivh"
85,0.4579,Fri Apr 06 07:00:09 +0000 2018,0.067,0.779,0.154,BBC,"It might not always feel like it, but psychologist @sapinker is convinced that the world is on the up. https://t.co/a8PrDXjDcL"
86,-0.6908,Thu Apr 05 20:02:00 +0000 2018,0.217,0.783,0.0,BBC,"'There’s the England before Stephen, and there’s the England after Stephen.' 

Stephen: The Murder That Changed a N… https://t.co/BLynBXYH7I"
87,0.7096,Thu Apr 05 18:00:24 +0000 2018,0.0,0.629,0.371,BBC,"🐆 Could building walkways in nature help save these big cats?
#BigCatsAboutTheHouse https://t.co/NdkxCDBpee"
88,0.0,Thu Apr 05 17:02:05 +0000 2018,0.0,1.0,0.0,BBC,"😋😋 Pocket-friendly recipes for two.
👉 https://t.co/CzuDNQNw3B https://t.co/xbrrmlIgNF"
89,-0.765,Thu Apr 05 16:00:17 +0000 2018,0.32,0.68,0.0,BBC,"👀 From illegal ivory to taxidermy, take a peek inside the banned wildlife room at Heathrow Airport. https://t.co/8yIok0eobX"
90,0.0,Thu Apr 05 15:55:28 +0000 2018,0.0,1.0,0.0,BBC,RT @bbccomedy: Smithy is an irl ray of #sunshine. https://t.co/NgA4t4jZob
91,0.0,Thu Apr 05 14:34:17 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCTheOneShow: ..@DIYSOS  are building a gym and community area for the Grenfell community, but @MrNickKnowles needs something specific…"
92,0.0028,Thu Apr 05 12:59:08 +0000 2018,0.118,0.724,0.159,BBC,"RT @bbcmusic: STOP EVERYTHING: @GaryBarlow is coming to Sounds Like Friday Night 🙌💪 
Don't miss it: 7.30pm, Friday, @BBCOne 💫#SLFN https://…"
93,0.4588,Thu Apr 05 12:37:24 +0000 2018,0.0,0.75,0.25,BBC,"RT @BBCOne: You took your sweet time. 

#Poldark #sunshine https://t.co/Ep33Zt5YZi"
94,-0.2263,Thu Apr 05 11:56:05 +0000 2018,0.119,0.881,0.0,BBC,"It's time society stopped judging black women by their hair, British-Somali artist @blackpowerpufff says.… https://t.co/lRmAfxmefR"
95,0.0,Thu Apr 05 11:01:08 +0000 2018,0.0,1.0,0.0,BBC,📚 A biography about conjoined twins from Siam who became US slave-owners + 9 other books to bury your nose in this… https://t.co/1UfP6LTH0i
96,0.0,Thu Apr 05 10:26:16 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCSport: Scotland's Hannah Miley takes the silver in the women's 400m individual medley! 🥈 https://t.co/GrailyYrno #bbcgoldcoast https…
97,0.4215,Thu Apr 05 10:22:47 +0000 2018,0.0,0.797,0.203,BBC,😍🐿 A trio of baby red squirrels have been rescued in Perthshire.  https://t.co/d2r7c8EyUh
98,0.6027,Thu Apr 05 10:03:28 +0000 2018,0.0,0.843,0.157,BBC,"RT @BBCBreakfast: Some GOOD plastic news!
Marine conservationists say the 5p carrier bag charge has reduced the amount of single use plasti…"
99,0.0,Thu Apr 05 09:55:45 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCRadio2: What happens when you put one harp, three fiddles, and the cream of the folk world in one room?

We brought together @elizac…"
100,0.0,Mon Apr 09 17:29:47 +0000 2018,0.0,1.0,0.0,CBS,"@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa"
101,0.0,Mon Apr 09 17:00:02 +0000 2018,0.0,1.0,0.0,CBS,"Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ"
102,0.2732,Mon Apr 09 15:00:00 +0000 2018,0.086,0.784,0.129,CBS,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu
103,0.6239,Mon Apr 09 13:36:00 +0000 2018,0.0,0.786,0.214,CBS,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb
104,0.6467,Mon Apr 09 01:42:06 +0000 2018,0.0,0.72,0.28,CBS,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq
105,0.7096,Sun Apr 08 22:00:01 +0000 2018,0.0,0.742,0.258,CBS,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN
106,0.5562,Sun Apr 08 18:38:13 +0000 2018,0.0,0.854,0.146,CBS,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ
107,0.4199,Sun Apr 08 15:00:00 +0000 2018,0.0,0.892,0.108,CBS,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme"
108,0.6696,Sat Apr 07 19:35:08 +0000 2018,0.0,0.817,0.183,CBS,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k
109,0.0,Sat Apr 07 18:28:03 +0000 2018,0.0,1.0,0.0,CBS,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H
110,0.3612,Sat Apr 07 16:30:02 +0000 2018,0.0,0.894,0.106,CBS,What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn
111,0.0,Sat Apr 07 15:31:12 +0000 2018,0.0,1.0,0.0,CBS,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7"
112,0.0,Fri Apr 06 21:10:18 +0000 2018,0.0,1.0,0.0,CBS,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX
113,0.0,Fri Apr 06 17:00:00 +0000 2018,0.0,1.0,0.0,CBS,What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e
114,0.0,Fri Apr 06 13:45:00 +0000 2018,0.0,1.0,0.0,CBS,Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM
